Attribute,LongHints,Reverse_GPT_Test
ammunition_case_and_holder_type,"Ammunition case and holder type refers to the type of case and holder that a particular ammunition is designed for. There are three main types of ammunition cases and holders: centerfire, rimfire, and shotgun. 

-Centerfire ammunition is designed for use in firearms that have the primer located in the center of the cartridge case. 
-Rimfire ammunition is designed for use in firearms that have the primer located on the rim of the cartridge case. 
-Shotgun ammunition is designed for use in firearms that have a smooth bore and fires shot instead of a single projectile.",Pass
ammunitionType,"Ammunition type is an attribute of a firearm that indicates the type of ammunition the firearm is designed to use. Examples of ammunition types include:
-Pistol
-Rifle
-Shotgun
-Bolted",Fail
amps,An amp (abbreviation for ampere) is the unit of electric current.,Fail
animal_welfare_certifications,"Certifications related to the humane treatment of animals during farming and slaughter practices.

-Global Animal Partnership
-Animal Welfare Approved
-American Humane Association
-Certified Humane",Pass
animal_welfare_claims,"An animal welfare claim is a statement made by a company about how its products were produced and the conditions in which the animals were raised. These claims can include things like "" cage-free,"" "" no antibiotics ever,"" and "" humanely raised.""

Examples: 
- ""Cage-free"": Chickens are raised in open barns or warehouses and are free to roam around. 
- ""No antibiotics ever"": Animals raised for food never receive antibiotics, even when they are sick. 
- ""Humanely raised"": Animals are raised in humane conditions with plenty of space to roam, access to food and water, and no harmful chemicals or treatments.",Pass
animalBreed,"An animal's breed is its variety, or group, within its species. There are many breeds of animals, including dogs, cats, horses, and rabbits. Some examples of dog breeds are Golden Retrievers, Labrador Retrievers, and German Shepherds.",Fail
animalHealthConcern,"The animal's overall health condition, which may be influenced by various factors such as age, diet, activity level, and underlying health problems.

-The animal may have a low energy level.
-The animal may be more prone to infections.
-The animal may have difficulty digesting food.
-The animal may have joint pain.
-The animal may have skin problems.",Fail
animalLifestage,"Animal lifestage is a term used to describe the stage of development an animal is in. This can be used to describe both wild and domestic animals.

-""Foal"" is used to describe a young horse or pony.
-A ""kitten"" is a young cat.
-A ""puppy"" is a young dog.",Fail
animalType,"Animal type refers to the classification of animals into various types, such as mammals, reptiles, amphibians, birds, and fish. 

-Mammals: Humans, monkeys, tigers, bears, etc. 
-Reptiles: Snakes, turtles, lizards, etc. 
-Amphibians: Frogs, toads, salamanders, etc. 
-Birds: Eagles, ducks, sparrows, etc. 
-Fish: Sharks, tuna, salmon, etc.",Fail
applicator_type,"An applicator_type is the type of applicator used for a product. Applicator types can include sponge-tipped, doe-footed, brush-tipped, and more.

-Sponge-tipped: A sponge-tipped applicator is one that has a small, soft sponge on the end, designed for gentle application.
-Doe-footed: A doe-footed applicator is one that has a small, rounded end, designed for precisionapplication.
-Brush-tipped: A brush-tipped applicator is one that has a small, soft brush on the end, designed for smooth application.",Pass
appointment_ruling,"An appointment_ruling is a decision handed down by an appointing authority regarding the appointment of an individual to a particular position.

-The board's appointment_ruling was that the candidate was not suited for the position.

-The court's appointment_ruling was that the appointment was valid and binding.",Pass
apps_installed,"apps_installed: A list of apps installed on a device.

-The list of apps installed on a device can be used to target ads and recommendations.
-Installed apps can be used to track a user's location and activity.
-Data from installed apps can be used to personalize a user's experience.",Pass
arcade_game_system_type,"An arcade game system type is a classification of video game console based on its hardware architecture.

-Arcade game system type examples include: Nintendo 64, Sega Saturn, PlayStation, and Xbox.",Fail
arcade_pinball_machine_type,"An arcade pinball machine is a type of amusement machine that is typically found in commercial establishments such as bars, restaurants, and amusement parks. They are usually coin-operated and feature a number of buttons and levers that the player uses to control the game. Most machines also have a number of lights and sound effects that add to the excitement of the game.

 Examples:

-Bally Midway's ""The Addams Family""
-Stern Electronics' ""Star Trek""
-Data East's ""The Simpsons""
-Gottlieb's ""Cue Ball Wizard""",Fail
arcade_video_game_machine_type,"A coin-operated video game machine typically found in public places such as arcades, bars, and restaurants.

-Skee-Ball
-Pac-Man
-Donkey Kong
-Asteroids
-Frogger",Fail
archery_arrow_type,"Archery Arrow Type:

-A type of arrow designed specifically for archery.
-Common arrow types include: field tip, broadhead, and judo point.
-Field tip arrows are the most common and are designed for target practice.
-Broadhead arrows are designed for hunting and have a sharpened head for penetration.
-Judo point arrows are designed for competition and have a blunt head to minimize injury.",Fail
