Question,Instructions
What is our current exposure to internal securitizations by core l1?,exposure = stat book value primarily. User Self Securitiized Flag to determine what is in scope and group by core level 1 code
What is the trend of Book Value versus Book Yield in the past 5 years?,query total stat book value and weighted avgerage stat book yield over the full date range. Overlay line hcart for yield over bar chart for book value
which positions have we lost money on in 2023?,"unrealized gain loss < 0 = ""lost money"","
which portfolios contain cusip 000825AE9?,"from cusip infer ""security_instrument_identifier"", portfolios -> portfolio identifier,"
what double AA assets do we own?,"double, triple, letters A - C and combinations should infer ratings. For ratings that are not specifiny agency use gafg average rating"
what is the stat book value of the 144a positions we own by legal entity,"for determining 144a assets filter by sec_144a_flag, return portfolio level context information as well as the total book value"
what is the change in AUM by Core Level 1 since feb 1st 2021?,"for AUM use stat_fx_book_value primarily, compute differences between start date and current date grouped by legal entity with entity context info included"
how has the flic entity grown in AUM since 2014?,infer from FLIC to FORELIFINS as entity shortname
What is our current exposure to Alternative assets?,use corelevel1 = Alternatives and compute total book value
How has the portfolio changed since Q3 2022?,"find Q3 2022 end date, calculate book value total then and now and find the difference. Where the words ""the portfolio"" exists without qualifiers assume ""stat univers"""
What is the average yield by sec type?,infer statbook yield and group by security_type_code
What positions do we have for sec group CRE?,security_group_code_sm = CRE
what is our unrealized gain and loss across all Ivy portfolios?,"cgaap2_base_net_unrealized_security_gain_loss_amount , risk_owner_name like 'Ivy%'"
What asset class has the highest average wal?,"asset class == core level1 and core level 2, wal = stat_weighted_average_life_rate_number"
How has zspread changed over the past year in the Credit portfolio?,"zpread = zero_volatility_spread_amount , credit portfolio => Core_level1_code = 'Credit'"
What is the proportion of the portfolio by country?,"country_code, cal %age split by total stat_fx_book_value_amount"
what are the top 10 issuers by book value?,"group by ultimate_issuer_name, sort by total stat_fx_book_value_amount desc and take first 10"
what is the average issue amount for our loan assets?,"consider any core_level% field that contains ""Loan"" and average issue_amount"
what is the aum breakdown by Middle Office Bucket?,"group by mo-bucket, total stat_fx_book_value_amount"
what is the breakdown of assets under management by institional business?,"determine institutional business by block_flow_prt_code not null, grop by coreleve1_code to get breakdown of assets"
What are the top 10 largest exposure by Ticker?,"group by ticker_code_sm, sort by total stat_fx_book_value_amount descending and return top 10"
what is the break down of private assets by core L1 and L2?,total stat_fx_book_value_amount grouped bt core_levle1_code and core_level2_code
what is the yield trend of the assets retroceded to 3rd parties in past 2 years?,"weighted average stat_book_yield where risk_owner_code != Global Atlantic, b_as_ofdate > current date - 2 years"
,"risk owner like ""ivy%"", by how much have we allocated infer total book value that falls in this condition"
,ambiguous trade assume asset level info required
,ambiguous trade assume asset level info required
,volume = sum quantity
,"for unqualified yield, assume stat book yield, use date range for Q3 (7/1-9/30)"
,look for commercial paper in core levels
,look for RMBS in core levels
,look for middle market in core levels when querying trades
,"for unqualified yield assume stat book yield, order descending and return first as asset level with asset level context"
,"infer fund as total net money, infer Q1 as date range"
,distinct security count grouped by months across the date range
,"GSAM, Himco, Guggenheim etc (values from asset_manager_name) should inder as asset_manager_name conditions"
,"use trade_date to determine when a trade is effective, for notional calculate total net money"
,"by ""proportional split"" infer percentage, for trade notional aggregate net money"
,"strade count by security, portoflio grouped by currency code ( when a currency value is included in a question infer currency_code condition)"
,sum quantity grouping by Sec type in the trade date range 1/1/22 = 12/31/22
,sum quantity by grouping sec type for trade date range > 1/1/2023 sort by sec group desc and return first record
,"group by corelevel1, computed weight avg on stat_weighted_average_life_rate_number for trades dates > 1/1/2023"
,"weighted avg zspread by quantity, grouped my month where corelevel1_code = Credit"
,"group by ticker_code_sm, sort by count(*) descending"
